id,district_region_name,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
025007,Frankfurter Allee Nord,3733,28,14,323,87,150,1678,36,112,307,33,30,11,544,95,101,851
025008,Frankfurter Allee Süd FK,8164,100,66,853,285,293,3406,45,293,743,54,44,10,1036,353,636,2019
029900,"Bezirk (Fh-Kb), nicht zuzuordnen",1834,47,39,121,43,37,1105,11,149,108,0,1,0,87,7,82,586
030000,Pankow,40120,460,351,3463,999,1484,20342,560,2564,4123,629,275,89,4348,1032,750,9248
031001,Buch,2503,31,18,313,80,112,1174,16,198,151,23,29,15,286,58,31,574
032002,Blankenfelde/Niederschönhausen,1584,9,6,119,25,66,745,32,112,170,53,18,5,140,20,15,272
032003,Buchholz,940,5,3,68,9,40,452,32,83,74,27,12,5,96,14,11,172
033004,Karow,1012,6,5,78,19,58,521,9,56,86,70,6,1,93,13,22,188
033005,Blankenburg/Heinersdorf/Märchenland,1868,10,6,143,38,68,770,22,135,121,52,14,3,175,38,17,280
034006,Schönholz/Wilhelmsruh/Rosenthal,1099,10,7,90,21,39,529,32,115,75,61,13,6,122,17,14,212
034007,Pankow Zentrum,3261,48,38,249,70,107,1664,25,165,376,36,17,5,330,69,44,691
034008,Pankow Süd,2621,31,22,221,64,126,1279,62,183,305,47,16,5,283,68,34,666
035009,Weißensee,3445,34,25,308,86,151,1702,51,184,365,51,24,7,456,104,65,830
035010,Weißensee Ost,1243,5,2,145,36,80,501,46,111,63,20,16,9,135,25,29,350
036011,Prenzlauer Berg Nordwest,3480,73,66,341,125,102,1914,28,159,428,15,9,1,358,99,107,1116
036012,Prenzlauer Berg Nord,3091,36,18,199,46,64,1912,39,172,437,42,16,3,275,73,60,703
036013,Helmholtzplatz,2391,16,12,200,61,75,1224,17,85,315,23,11,3,324,106,76,513
036014,Prenzlauer Berg Ost,4453,56,45,385,127,150,2289,44,291,291,56,34,9,456,125,111,914
037015,Prenzlauer Berg Südwest,3278,41,36,355,126,95,1691,36,184,405,36,13,5,413,101,66,904
037016,Prenzlauer Berg Süd,2652,27,22,184,46,93,1318,47,193,352,16,17,3,322,84,38,645
039900,"Bezirk (Pk), nicht zuzuordnen",1199,22,20,65,20,58,657,22,138,109,1,10,4,84,18,10,218
040000,Charlottenburg-Wilmersdorf,48858,416,251,3694,902,2058,21153,628,4004,2854,736,249,78,3965,823,1335,10286
041001,Charlottenburg Nord,2710,24,12,273,60,256,714,72,216,41,35,20,5,211,14,338,739
042002,Heerstraße,1463,15,10,203,61,47,554,26,123,57,56,13,5,191,62,40,384
042003,Westend,3589,14,9,256,46,266,1542,62,340,155,66,26,5,316,38,52,860
043004,Schloss Charlottenburg,4444,39,26,349,86,181,1990,59,309,429,65,34,16,576,178,112,987
043005,Mierendorffplatz,1895,25,17,181,42,97,760,38,186,118,24,14,3,197,32,31,440
043006,Otto-Suhr-Allee/Kantstraße,7300,73,42,605,144,243,3643,60,404,560,86,40,13,511,98,184,1399
044007,Grunewald,2163,24,15,134,28,115,999,63,447,116,87,13,3,250,56,24,488
044008,Schmargendorf,2186,18,10,155,36,81,1149,54,247,211,61,12,9,242,41,29,652
045009,Halensee,3509,27,18,255,61,144,1653,58,325,220,76,15,4,310,41,57,775
045010,Lietzenburger Straße,12728,97,52,831,229,302,4564,49,697,414,102,24,6,661,176,316,1916
045011,Volkspark Wilmersdorf,5157,38,20,362,84,225,2543,68,501,469,77,29,5,420,76,97,1293
049900,"Bezirk (Ch-Wi), nicht zuzuordnen",1714,22,20,90,25,101,1042,19,209,64,1,9,4,80,11,55,353
050000,Spandau,26342,272,170,2882,678,1415,10550,358,2373,867,474,266,121,2445,283,559,7072
051001,Hakenfelde,1940,12,8,206,45,107,922,32,183,63,31,16,5,174,7,30,547
051002,Falkenhagener Feld,3119,34,17,443,113,245,1129,65,320,85,99,23,10,352,14,59,997
051003,Spandau Mitte,6324,86,63,691,171,310,2667,56,485,190,84,40,17,504,55,227,2000
052004,Brunsbütteler Damm,1580,16,9,177,37,76,679,24,191,50,49,28,11,165,18,31,392
052005,Heerstraße,2562,22,14,326,77,192,832,28,190,53,77,82,45,315,28,46,761
052006,Wilhelmstadt,5664,50,30,555,123,199,2210,52,357,192,65,31,13,424,97,82,1166
053007,Haselhorst,1874,18,7,216,48,121,769,47,246,76,33,7,4,190,24,40,497
053008,Siemensstadt,1594,13,5,142,25,78,615,28,181,79,8,18,4,174,30,24,329
054009,Gatow/Kladow,831,7,5,68,16,53,303,10,53,53,28,12,7,75,4,7,164
